7:116,110556,19399,19395,5987,103548,103544,120122,120124,53902
18:7905,15122,18,110556,19399,19395,5987,103548,103544,120122
19:19480,57664,109998,20124,60112,113026,33209,86550,55938,55016
36:568,11824,1119,50347,1405,110556,19399,19395,5987,103548
37:131,10520,2955,57491,16288,119,4422,119,4678,1239
41:289,27496,9077,14202,2538,422,2538,1102,518,518
42:2193,35036,5214,39505,131,568,3824,3642,62137,1102
43:110556,19399,19395,103548,113011,88394,46132,97157,88023,64670
44:1136,2316,12693,3234,3771,12157,591,6011,3223,62
45:110556,82999,46132,46791,21613,12832,65886,98108,57664,43851
46:1039,3093,15587,875,999,4833,35559,7741,1119,654
59:37720,1824,1405,86,16134,967,518,119,1190,13498
60:6011,3841,17,654,302,974,709,6848,110556,19399
69:813,22308,14551,2116,8873,10162,803,9931,356,5465
70:79667,1121,59189,79667,82991,64670,10705,21619,69171,46864
94:9617,6270,20553,95138,11174,119,322,8276,5117,559
106:14202,367,5471,58,67595,2626,1403,6996,2626,4502
115:966,2816,709,2982,1046,11,559,1360,110556,19399
116:29001,834,5981,46136,46132,19972,44793,12831,50417,22678
142:398,3476,74590,19984,16977,8231,238,67084,7585,5078
143:49245,86747,110556,19399,19395,5987,103548,103544,120122,120124
148:508,378,5545,1405,5103,18867,6024,46215,110556,19399
150:2030,110556,19399,19395,5987,103548,103544,120122,120124,53902
156:946,54,8901,1405,8213,1743,568,17,654,17
161:1926,179,8,15507,5347,9581,363,4027,89079,3213
171:19470,28641,12680,1512,24173,9423,3915,2326,14626,14047
172:1937,302,394,1217,1239,6727,398,331,591,110556
174:82991,64670,10705,21619,69171,46864,65884,50417,52811,22671
177:2668,2668,21695,110556,19399,19395,5987,103548,103544,120122
196:3476,650,4578,1387,17164,4456,97,427,650,110556
202:378,508,220,69591,8057,780,2669,110556,19399,19395
211:13108,76859,87295,89949,18762,69696,16918,75098,18567,98889
217:8066,17,13049,55991,2193,1009,2597,1009,1009,2055
220:110556,19399,19395,103548,113011,88394,46132,97157,88023,64670
223:119,5471,4282,2937,5757,167,559,2829,8016,110556
224:5981,46136,46132,19972,44793,12831,50417,22678,65261,41064
225:32619,353,3476,2302,110556,19399,19395,5987,103548,103544
228:20715,650,110556,19399,19395,103548,113011,88394,46132,97157
229:1410,31108,2068,110556,19399,19395,5987,103548,103544,120122
231:2904,110556,19399,19395,5987,103548,103544,120122,120124,53902
232:110556,82999,46132,46791,21613,12832,65886,98108,57664,43851
238:42397,9661,26712,100015,69171,54173,54174,57664,90295,121023
241:9255,4957,58961,62,238,2597,4628,1561,75992,7973
245:91137,82991,64670,57664,117523,107708,68341,35218,81997,87295
249:8483,91955,110556,19399,19395,5987,103548,103544,120122,120124
250:285,1410,3250,4536,2031,508,110556,19399,19395,5987
253:17257,46864,94279,65884,22678,65261,98108,57664,24145,49162
257:3088,354,65,296,709,110556,19399,19395,5987,103548
272:6068,110556,19399,19395,5987,103548,103544,120122,120124,53902
273:8,2617,3448,285,17215,266,967,1762,511,110556
288:5998,1548,699,116,1499,5767,12248,110556,19399,19395
290:18867,13501,110556,19399,19395,5987,103548,103544,120122,120124
291:61628,46026,16625,110556,19399,19395,5987,103548,103544,120122
292:31488,45527,10930,110556,19399,19395,5987,103548,103544,120122
294:110556,19399,19395,5987,103548,103544,120122,120124,53902,113011
328:110556,19399,19395,5987,103548,103544,120122,120124,53902,113011
331:110556,19399,19395,5987,103548,103544,120122,120124,53902,113011
345:29573,62840,11401,5981,113011,82991,88391,46136,46132,88022
361:642,10455,1558,110556,19399,19395,5987,103548,103544,120122
376:8683,7029,110556,19399,19395,5987,103548,103544,120122,120124
384:4940,1550,238,1684,3101,1979,110556,19399,19395,5987
401:902,9729,378,1009,5253,19431,518,116,14202,1119
402:4793,3304,322,16056,110556,19399,19395,5987,103548,103544
410:5981,46136,46132,19972,44793,12831,50417,22678,65261,41064
448:73474,6231,598,17532,656,703,6304,53377,25560,6463
449:35229,73803,65,2829,40046,3599,5214,54210,16942,1382
450:650,8105,116,9525,650,199,819,193,65,1044
452:18471,749,109836,57664,115274,99381,42756,34287,49244,78524
476:1451,398,1163,8213,9006,110556,19399,19395,5987,103548
488:7045,1099,43182,73760,4478,1548,376,1196,3304,110556
490:861,179,2602,110556,19399,19395,5987,103548,103544,120122
494:9942,6923,20742,650,302,302,10,356,10066,11
500:110556,19399,19395,103548,113011,88394,46132,97157,88023,64670
514:8276,5214,18287,110556,19399,19395,103548,113011,88394,46132
